City,City Latitude,City Longitude,Max Temperature,Humidity,Cloud Coverage,Wind Speed,City Country,City DateTime
Torbay,47.67,-52.73,44.01,74,75,16.11,CA,2020-11-13 10:41:31
Hermanus,-34.42,19.23,66.0,79,91,5.01,ZA,2020-11-13 10:40:52
Yellowknife,62.46,-114.35,8.6,92,75,8.05,CA,2020-11-13 10:42:21
Cape Town,-33.93,18.42,75.0,68,0,17.22,ZA,2020-11-13 10:41:38
Grindavik,63.84,-22.43,37.4,86,75,17.22,IS,2020-11-13 10:41:49
Kruisfontein,-34.0,24.73,80.01,60,7,5.99,ZA,2020-11-13 10:41:28
Meulaboh,4.14,96.13,77.07,91,100,5.01,ID,2020-11-13 10:42:30
Miran Shah,33.01,70.07,57.02,65,99,9.17,PK,2020-11-13 10:42:32
Khandyga,62.67,135.6,12.16,96,100,4.09,RU,2020-11-13 10:42:34
Avarua,-21.21,-159.78,75.2,78,71,11.41,CK,2020-11-13 10:41:34
Vestmannaeyjar,63.44,-20.27,37.4,78,0,13.87,IS,2020-11-13 10:41:37
Puerto Ayora,-0.74,-90.35,73.4,73,75,21.92,EC,2020-11-13 10:41:35
New Norfolk,-42.78,147.06,55.4,93,90,4.7,AU,2020-11-13 10:42:43
Saskylakh,71.92,114.08,-11.49,89,93,1.52,RU,2020-11-13 10:42:45
Lucea,18.45,-78.17,86.0,79,20,11.41,JM,2020-11-13 10:42:47
Kapaa,22.08,-159.32,77.0,78,90,18.34,US,2020-11-13 10:41:37
Tuatapere,-46.13,167.68,57.99,61,100,8.99,NZ,2020-11-13 10:42:52
Rikitea,-23.12,-134.97,74.5,80,41,15.43,PF,2020-11-13 10:41:29
Zanjān,36.67,48.48,39.78,72,55,5.91,IR,2020-11-13 10:42:56
Lae,-6.72,146.98,76.1,84,100,4.23,PG,2020-11-13 10:42:58
Arraial do Cabo,-22.97,-42.03,82.4,78,40,9.17,BR,2020-11-13 10:43:00
Jamestown,42.1,-79.24,45.0,75,1,9.17,US,2020-11-13 10:39:43
Hilo,19.73,-155.09,69.8,73,75,8.05,US,2020-11-13 10:41:33
Bembibre,42.62,-6.42,62.01,79,0,5.01,ES,2020-11-13 10:43:07
Qaanaaq,77.48,-69.36,1.6,75,92,6.98,GL,2020-11-13 10:41:32
Vaini,-21.2,-175.2,75.2,94,40,4.7,TO,2020-11-13 10:41:28
Guerrero Negro,27.98,-114.06,68.18,59,0,8.59,MX,2020-11-13 10:43:14
Atar,20.52,-13.05,93.49,11,39,9.1,MR,2020-11-13 10:43:16
Tabou,4.42,-7.35,81.09,80,12,6.26,CI,2020-11-13 10:43:18
Lorengau,-2.02,147.27,82.38,75,51,5.32,PG,2020-11-13 10:43:21
Le Port,-20.94,55.29,77.0,73,75,3.36,RE,2020-11-13 10:43:23
Vysokogornyy,50.12,139.15,23.18,96,95,9.01,RU,2020-11-13 10:43:25
Albany,42.6,-73.97,43.0,83,100,3.02,US,2020-11-13 10:41:47
Moose Factory,51.26,-80.61,30.2,100,90,5.82,CA,2020-11-13 10:43:29
Khatanga,71.97,102.5,-15.27,90,54,2.48,RU,2020-11-13 10:43:31
Leningradskiy,69.38,178.42,10.81,94,99,14.47,RU,2020-11-13 10:43:34
Kaitangata,-46.28,169.85,49.26,74,29,8.7,NZ,2020-11-13 10:43:36
Mataura,-46.19,168.86,57.99,61,85,8.99,NZ,2020-11-13 10:41:38
